area,aspect_ratio,circularity,solidity,perimeter,label
1768.5,1.2558139534591672,0.8795807885693683,0.9849624060150376,158.95331752300262,1
1689.5,1.177777777751605,0.8602819973859759,0.984270317506554,157.0954521894455,1
1428.5,1.023255813929692,0.8991404283376948,0.9858523119392685,141.29646337032318,1
1010.0,1.057142857112653,0.8308229778254098,0.9734939759036144,123.59797894954681,1
1206.0,1.2285714285363267,0.8386639910652838,0.9812855980471928,134.42640602588654,1
1918.5,1.1702127659325487,0.8684976459864949,0.9843509492047203,166.6101713180542,1
2178.5,1.2199999999756002,0.84564836297745,0.9837435086927071,179.92387998104095,1
1697.0,1.086956521715501,0.8466022527651222,0.9800750794109154,158.71067667007446,1
2095.0,1.0377358490370239,0.8198557950894533,0.9705814222839935,179.1959583759308,1
1834.5,1.1860465116003247,0.8623935210968782,0.9857603439011284,163.4974740743637,1
1440.5,1.2926829267977396,0.717729788657693,0.9723253459331759,158.81118178367615,0
848.5,1.0882352940856403,0.8040835552239748,0.976409666283084,115.15432798862457,0
1936.0,0.9999999999830509,0.7008888439493408,0.9407191448007775,186.30865681171417,0
1155.0,1.3939393938971536,0.8216095984514541,0.9788135593220338,132.91168749332428,0
2079.5,1.1428571428367347,0.7632267976345122,0.9758329422806195,185.03657841682434,0
844.0,1.2333333332922223,0.7624682768003023,0.9451287793952967,117.94112491607666,0
1959.5,1.3541666666384549,0.7008693613274372,0.9377841588896866,187.4385985136032,0
1185.0,1.4117647058408307,0.7717038049594969,0.969721767594108,138.9116872549057,0
1992.5,1.71052631574446,0.7600935115555398,0.9764763538348444,181.49747371673584,0
1601.5,1.0416666666449654,0.8119221225429346,0.9714892326357295,157.43859887123108,0
